A
Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-01,10.63,10.82,10.15,10.26,10.26,1009600
2022-11-02,10.19,10.39,9.76,9.77,9.77,422800
2022-11-03,9.74,10.07,9.57,9.88,9.88,350700
2022-11-04,10,10.16,9.5,9.71,9.71,334900
2022-11-07,9.81,9.94,9.605,9.84,9.84,347800
2022-11-08,9.98,10.13,9.73,10.12,10.12,432300
2022-11-09,10.08,10.1,9.8,10.02,10.02,359500
2022-11-10,10.59,11.16,10.55,11.05,11.05,368200
2022-11-11,10.97,11.595,10.97,11.44,11.44,385900
2022-11-14,11.28,11.355,10.67,10.74,10.74,403500
2022-11-15,11.11,11.38,10.7,10.76,10.76,366500
2022-11-16,10.57,10.57,10.13,10.16,10.16,315600
2022-11-17,10.06,10.54,9.9,10.51,10.51,269200
2022-11-18,10.67,11.06,10.5,11.05,11.05,422000
2022-11-21,10.96,11.2,10.85,11.04,11.04,505010

AAON
Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-01,64.98,65.57,63.83,65,65,99421
2022-11-02,65.13,66.5,63.32,63.32,63.32,111800
2022-11-03,62.37,64.85,62.15,64.38,64.38,87900
2022-11-04,64.59,65.9,64.33,65.81,65.81,106300
2022-11-07,65.51,66.83,65.36,65.55,65.55,107800
2022-11-08,72.14,80.49,71.6,74.75,74.75,692800
2022-11-09,73.83,76.08,72.82,74.54,74.54,362600
2022-11-10,77.71,79.1,75.86,78.51,78.51,353900
2022-11-11,78.19,80.05,77.92,78.02,78.02,250200
2022-11-14,77.29,78.33,76.6,77.81,77.81,231000
2022-11-15,78.3,81.2,77.66,80.24,80.24,250500
2022-11-16,79.91,80.61,78.96,80.27,80.27,252700
2022-11-17,78.93,79.45,78.11,79.45,79.45,138300
2022-11-18,80.89,80.89,78.47,78.76,78.76,185000
2022-11-21,78.97,80.34,78.86,79.92,79.92,96300

AAP
Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-01,191.18,191.21,188.38,189.28,189.28,471705
2022-11-02,189.21,194.35,186.74,186.89,186.89,1011848
2022-11-03,185.59,186.4,183.085,184.24,184.24,865524
2022-11-04,185.99,185.99,178.095,181.07,181.07,849689
2022-11-07,181.69,183.45,178.13,183.09,183.09,782293
2022-11-08,184.26,184.73,180.09,182.64,182.64,571309
2022-11-09,181.35,182.07,175.24,175.35,175.35,927862
2022-11-10,180.8,185.265,180.8,183.53,183.53,1009473
2022-11-11,183.29,187.58,180.4,186.39,186.39,765200
2022-11-14,186.97,189.74,183.65,183.78,183.78,863400
2022-11-15,184.53,185.94,178.33,183.94,183.94,1644300
2022-11-16,155,161.73,150.35,156.24,156.24,5374000
2022-11-17,153.1,153.75,147.48,148.31,148.31,2470600
2022-11-18,149.68,150.27,145.59,147.5,147.5,1707000
2022-11-21,147.61,150.01,146.37,148.24,148.24,1564300

AAPL
Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-01,155.08,155.45,149.13,150.65,150.4005,80379352
2022-11-02,148.945,152.17,145,145.03,144.7898,93604625
2022-11-03,142.06,142.8,138.75,138.88,138.65,97918523
2022-11-04,142.09,142.67,134.38,138.38,138.38,140814797
2022-11-07,137.11,139.145,135.671,138.92,138.92,83374633
2022-11-08,140.41,141.43,137.49,139.5,139.5,89908477
2022-11-09,138.5,138.55,134.5933,134.87,134.87,74917789
2022-11-10,141.24,146.87,139.5,146.87,146.87,118854000
2022-11-11,145.82,150.01,144.37,149.7,149.7,93979672
2022-11-14,148.97,150.28,147.43,148.28,148.28,73374109
2022-11-15,152.215,153.59,148.5613,150.04,150.04,89868328
2022-11-16,149.13,149.87,147.29,148.79,148.79,64218273
2022-11-17,146.43,151.48,146.15,150.72,150.72,80389398
2022-11-18,152.305,152.7,149.97,151.29,151.29,74829570
2022-11-21,150.16,150.37,147.715,148.01,148.01,58724070

AAT
Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-01,27.82,28.01,27.49,28.01,28.01,255800
2022-11-02,27.79,28.25,27.44,27.49,27.49,415700
2022-11-03,27.7,28.33,27.13,28.21,28.21,363900
2022-11-04,28.52,28.68,27.87,28.25,28.25,502300
2022-11-07,28.64,28.74,27.73,27.99,27.99,358500
2022-11-08,28.05,28.15,27.42,27.7,27.7,248100
2022-11-09,27.48,27.77,27.08,27.22,27.22,331200
2022-11-10,28.2,28.93,28.2,28.91,28.91,420700
2022-11-11,28.9,29.08,28.35,28.58,28.58,243500
2022-11-14,28.33,28.67,27.95,27.97,27.97,197400
2022-11-15,28.2,28.44,27.84,28.24,28.24,216000
2022-11-16,28.23,28.23,27.77,27.81,27.81,197400
2022-11-17,27.52,28.09,27.35,28.02,28.02,280400
2022-11-18,28.55,28.88,28.15,28.82,28.82,372200
2022-11-21,28.82,28.9,28.1,28.34,28.34,235200

AAWW
Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-01,101.09,101.25,101,101.11,101.11,709500
2022-11-02,101.05,101.24,100.81,100.9,100.9,355500
2022-11-03,100.51,100.71,99.78,100.25,100.25,1417100
2022-11-04,100.35,100.9,100.13,100.44,100.44,1654700
2022-11-07,100.44,100.61,100.2,100.44,100.44,314600
2022-11-08,100.49,100.67,100,100.1,100.1,364500
2022-11-09,100.06,100.43,99.16,99.74,99.74,908400
2022-11-10,100.22,100.4,100.02,100.15,100.15,434000
2022-11-11,100.61,100.67,100.1,100.22,100.22,396800
2022-11-14,100.26,100.59,100.26,100.38,100.38,385200
2022-11-15,100.55,100.65,100.17,100.46,100.46,659700
2022-11-16,100.41,100.66,100.41,100.47,100.47,240700
2022-11-17,100.22,100.67,99.89,100,100,1166800
2022-11-18,100.78,100.81,100.07,100.64,100.64,263100
2022-11-21,100.32,100.97,100.3,100.76,100.76,248800

ABBV
Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-01,146.66,147.7,144.55,146.91,146.91,6351200
2022-11-02,147.03,148.08,144.48,144.52,144.52,5345000
2022-11-03,144,145.42,143.03,144.42,144.42,3850700
2022-11-04,145.35,145.58,143.08,145.28,145.28,4623700
2022-11-07,145.28,148.8,144.7,148.1,148.1,4304000
2022-11-08,148.83,151.63,147.96,148.53,148.53,4637500
2022-11-09,148.59,150.57,147.04,147.62,147.62,4573700
2022-11-10,150.66,150.66,147.75,149.72,149.72,5607700
2022-11-11,149.54,150.52,145.75,150.16,150.16,6785100
2022-11-14,150.98,154.54,150.98,151.74,151.74,7077100
2022-11-15,153.39,153.42,149.96,153.04,153.04,5909500
2022-11-16,153.44,156.69,151.23,151.87,151.87,7358700
2022-11-17,150.97,153.07,149.97,152.16,152.16,5069500
2022-11-18,153.67,155.64,153.67,154.98,154.98,5691100
2022-11-21,155.395,158.6286,154.43,157.11,157.11,5840135
